"FILEID","EVENTNO","YEAR","MONTH","DAY","TIME","LAT_DD","LONG_DD","LEGTYPE","LEGSTAGE","LEGNO","ALT","BEAUFORT","VISIBLTY","CLOUD","GLAREL","GLARER","SPECCODE","IDREL","NUMBER","NUMCALF","SIGHTNO","STRIP","ANGLEL","ANGLER","S_LAT","S_LONG","STRATUM","PLATFORM"
"AA240401",1,2024,4,1,"120000",42.9,-69,1,,,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",2,2024,4,1,"120200",42.95,-69,1,,,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",3,2024,4,1,"120200",42.95,-69,1,,,229,2,5,2,0,1,"HUWH",3,2,,1,,,,,,"0",210
"AA240401",4,2024,4,1,"120400",43,-69,2,1,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",5,2024,4,1,"120425",43.01,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",6,2024,4,1,"120450",43.02,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",7,2024,4,1,"120515",43.03,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",8,2024,4,1,"120540",43.04,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",9,2024,4,1,"120540",43.04,-69,2,2,1,229,2,5,2,0,1,"RIWH",3,1,,2,7,,45,43.0399999653903,-68.9971803271849,"0",210
"AA240401",10,2024,4,1,"120605",43.05,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",11,2024,4,1,"120630",43.06,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",12,2024,4,1,"120655",43.07,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",13,2024,4,1,"120720",43.08,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",14,2024,4,1,"120745",43.09,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",15,2024,4,1,"120745",43.09,-69,2,2,1,229,2,5,2,0,1,"RIWH",3,2,,3,5,60,,43.0926997724594,-69.0016293390111,"0",210
"AA240401",15,2024,4,1,"120745",43.09,-69,2,2,1,229,2,5,2,0,1,"RIWH",3,1,,4,5,,30,,,"0",210
"AA240401",15,2024,4,1,"120745",43.09,-69,2,2,1,229,2,5,2,0,1,"FIWH",2,3,,5,9,,20,,,"0",210
"AA240401",16,2024,4,1,"120810",43.1,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",17,2024,4,1,"120835",43.11,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",18,2024,4,1,"120900",43.12,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",19,2024,4,1,"120925",43.13,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",20,2024,4,1,"120950",43.14,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",21,2024,4,1,"121015",43.15,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",22,2024,4,1,"121015",43.15,-69,2,6,1,229,2,5,2,0,1,"FIWH",3,1,,6,7,,40,,,"0",210
"AA240401",23,2024,4,1,"121040",43.16,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",24,2024,4,1,"121105",43.17,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",25,2024,4,1,"121130",43.18,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",26,2024,4,1,"121155",43.19,-69,2,2,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",27,2024,4,1,"121220",43.2,-69,2,5,1,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",28,2024,4,1,"121245",43.21,-69.05,3,,,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",29,2024,4,1,"121345",43.23,-69.08,3,,,229,2,5,2,0,1,"MIWH",2,1,,7,,,,,,"0",210
"AA240401",30,2024,4,1,"123000",43.25,-69.1,2,1,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",31,2024,4,1,"123025",43.26,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",32,2024,4,1,"123050",43.27,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",33,2024,4,1,"123115",43.28,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",34,2024,4,1,"123140",43.29,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",35,2024,4,1,"123205",43.3,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",36,2024,4,1,"123205",43.3,-69.1,2,2,2,229,2,5,2,0,1,"RIWH",3,3,,8,3,75,,,,"0",210
"AA240401",36,2024,4,1,"123205",43.3,-69.1,2,2,2,229,2,5,2,0,1,"RIWH",3,1,,9,3,,15,,,"0",210
"AA240401",37,2024,4,1,"123230",43.31,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",38,2024,4,1,"123255",43.32,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",39,2024,4,1,"123320",43.32,-69.1,2,3,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",40,2024,4,1,"123420",43.324,-69.097,4,,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",41,2024,4,1,"123500",43.326,-69.102,4,,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",42,2024,4,1,"123540",43.323,-69.105,4,,2,229,2,5,2,0,1,"RIWH",3,1,,10,,,,43.3164002463279,-69.096907788719,"0",210
"AA240401",43,2024,4,1,"123620",43.319,-69.103,4,,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",44,2024,4,1,"123700",43.321,-69.099,4,,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",45,2024,4,1,"123920",43.33,-69.1,2,4,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",46,2024,4,1,"123945",43.34,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",47,2024,4,1,"124010",43.35,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",48,2024,4,1,"124035",43.36,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",49,2024,4,1,"124100",43.37,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",50,2024,4,1,"124125",43.38,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",51,2024,4,1,"124150",43.39,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",52,2024,4,1,"124215",43.4,-69.1,2,2,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240401",53,2024,4,1,"124240",43.41,-69.1,2,5,2,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",1,2024,4,2,"133000",43,-68.8,2,1,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",2,2024,4,2,"133025",43.01,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",3,2024,4,2,"133050",43.02,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",4,2024,4,2,"133115",43.03,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",5,2024,4,2,"133140",43.04,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",6,2024,4,2,"133205",43.05,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",7,2024,4,2,"133230",43.06,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",8,2024,4,2,"133255",43.07,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",9,2024,4,2,"133255",43.07,-68.8,2,2,3,229,2,5,2,0,1,"RIWH",3,4,,1,5,55,,43.0699999830134,-68.8019753222606,"0",210
"AA240402",10,2024,4,2,"133320",43.08,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",11,2024,4,2,"133345",43.09,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",12,2024,4,2,"133410",43.1,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",13,2024,4,2,"133435",43.11,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",14,2024,4,2,"133500",43.12,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",15,2024,4,2,"133525",43.13,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",16,2024,4,2,"133550",43.14,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",17,2024,4,2,"133615",43.15,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",18,2024,4,2,"133640",43.16,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",19,2024,4,2,"133705",43.17,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",20,2024,4,2,"133730",43.18,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",21,2024,4,2,"133755",43.19,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",22,2024,4,2,"133755",43.19,-68.8,2,2,3,229,2,5,2,0,1,"SEWH",2,2,,2,11,,25,,,"0",210
"AA240402",23,2024,4,2,"133820",43.2,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",24,2024,4,2,"133845",43.21,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",25,2024,4,2,"133910",43.22,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",26,2024,4,2,"133935",43.23,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",27,2024,4,2,"134000",43.24,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",28,2024,4,2,"134025",43.25,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",29,2024,4,2,"134025",43.25,-68.8,2,7,3,229,2,5,2,0,1,"LOTU",3,1,,3,,,,,,"0",210
"AA240402",30,2024,4,2,"134050",43.26,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",31,2024,4,2,"134115",43.27,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",32,2024,4,2,"134140",43.28,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",33,2024,4,2,"134205",43.29,-68.8,2,2,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",34,2024,4,2,"134230",43.3,-68.8,2,5,3,229,2,5,2,0,1,,,,,,,,,,,"0",210
