"station","latitude","longitude","date","species","detected","hours_recorded","hours_detected"
"GOM01",42.3,-70.3,"2024-01-01","RIWH","Y",24,3
"GOM01",42.3,-70.3,"2024-01-02","RIWH","Y",24,6
"GOM01",42.3,-70.3,"2024-01-03","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-04","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-05","RIWH",,,
"GOM01",42.3,-70.3,"2024-01-06","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-01-07","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-01-08","RIWH",,,
"GOM01",42.3,-70.3,"2024-01-09","RIWH",,,
"GOM01",42.3,-70.3,"2024-01-10","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-11","RIWH",,,
"GOM01",42.3,-70.3,"2024-01-12","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-13","RIWH",,,
"GOM01",42.3,-70.3,"2024-01-14","RIWH","Y",24,3
"GOM01",42.3,-70.3,"2024-01-15","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-16","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-17","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-18","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-19","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-20","RIWH","Y",20,1
"GOM01",42.3,-70.3,"2024-01-21","RIWH",,,
"GOM01",42.3,-70.3,"2024-01-22","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-23","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-24","RIWH","Y",24,3
"GOM01",42.3,-70.3,"2024-01-25","RIWH","Y",24,1
"GOM01",42.3,-70.3,"2024-01-26","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-01-27","RIWH","Y",24,5
"GOM01",42.3,-70.3,"2024-01-28","RIWH","Y",24,4
"GOM01",42.3,-70.3,"2024-01-29","RIWH","Y",20,4
"GOM01",42.3,-70.3,"2024-01-30","RIWH","Y",24,3
"GOM01",42.3,-70.3,"2024-01-31","RIWH","Y",20,4
"GOM01",42.3,-70.3,"2024-02-01","RIWH","Y",20,5
"GOM01",42.3,-70.3,"2024-02-02","RIWH",,,
"GOM01",42.3,-70.3,"2024-02-03","RIWH","Y",24,3
"GOM01",42.3,-70.3,"2024-02-04","RIWH",,,
"GOM01",42.3,-70.3,"2024-02-05","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-02-06","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-02-07","RIWH",,,
"GOM01",42.3,-70.3,"2024-02-08","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-02-09","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-02-10","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-02-11","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-02-12","RIWH",,,
"GOM01",42.3,-70.3,"2024-02-13","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-02-14","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-02-15","RIWH","Y",24,5
"GOM01",42.3,-70.3,"2024-02-16","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-02-17","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-02-18","RIWH","Y",20,1
"GOM01",42.3,-70.3,"2024-02-19","RIWH",,,
"GOM01",42.3,-70.3,"2024-02-20","RIWH",,,
"GOM01",42.3,-70.3,"2024-02-21","RIWH","Y",24,4
"GOM01",42.3,-70.3,"2024-02-22","RIWH","Y",24,1
"GOM01",42.3,-70.3,"2024-02-23","RIWH","Y",20,2
"GOM01",42.3,-70.3,"2024-02-24","RIWH","Y",24,4
"GOM01",42.3,-70.3,"2024-02-25","RIWH","Y",24,8
"GOM01",42.3,-70.3,"2024-02-26","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-02-27","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-02-28","RIWH","Y",24,2
"GOM01",42.3,-70.3,"2024-02-29","RIWH","N",24,0
